tm,stnId,avgTa,minTa,maxTa,sumRn,avgRhm,sumSsHr
2015-01-01,261,-0.8,-2.8,0.7,2.0,71.3,3.1
2015-01-02,261,1.0,-2.4,6.1,1.0,68.1,5.3
2015-01-03,261,0.1,-5.7,6.7,0.0,80.1,7.7
2015-01-04,261,4.1,-1.2,12.1,0.0,85.5,8.1
2015-01-05,261,7.0,-2.8,14.3,3.0,,2.9
2015-01-06,261,4.1,-0.1,14.6,0.5,63.4,8.5
2015-01-07,261,0.5,-2.4,3.1,0.0,57.4,4.0
2015-01-08,261,2.1,-0.5,5.5,0.0,65.3,5.0
2015-01-09,261,3.1,-2.7,7.8,0.0,68.1,5.9
2015-01-10,261,2.7,-3.6,7.7,0.0,71.6,8.9
2015-01-11,261,1.3,-4.7,8.1,0.0,72.8,7.0
2015-01-12,261,0.0,-5.6,4.8,0.0,61.4,9.3
2015-01-13,261,3.4,-5.8,11.0,0.0,68.9,4.1
2015-01-14,261,5.5,3.8,7.2,1.0,73.8,0.0
2015-01-15,261,3.9,-1.7,8.6,0.5,72.6,8.1
2015-01-16,261,2.6,-2.1,5.9,0.1,88.1,0.0
2015-01-17,261,1.2,-2.9,3.9,0.0,61.0,9.2
2015-01-18,261,1.8,-4.2,7.1,0.2,73.0,4.9
2015-01-19,261,5.3,2.6,8.5,0.0,54.6,5.2
2015-01-20,261,3.3,-1.7,9.8,0.0,64.0,7.8
2015-01-21,261,6.7,3.6,9.9,1.5,82.5,0.0
2015-01-22,261,4.8,2.8,7.4,0.5,76.1,4.2
2015-01-23,261,2.2,-3.7,8.4,0.0,76.4,9.5
2015-01-24,261,2.3,-4.4,10.3,0.0,78.4,8.4
2015-01-25,261,8.0,-1.3,12.4,11.0,83.1,0.1
2015-01-26,261,7.1,3.9,10.3,0.5,,0.0
2015-01-27,261,1.8,-1.2,4.4,0.0,68.4,4.6
2015-01-28,261,-0.9,-4.0,4.2,0.0,64.0,7.6
2015-01-29,261,-0.1,-4.4,2.1,9.0,94.8,0.0
2015-01-30,261,1.4,-0.1,4.4,0.5,70.0,4.6
2015-01-31,261,-0.2,-1.9,2.9,0.0,61.8,9.2
2015-02-01,261,-0.1,-6.7,5.2,0.0,62.3,9.7
2015-02-02,261,1.5,-3.8,7.7,0.0,67.4,7.3
2015-02-03,261,0.7,-6.6,7.0,0.0,71.6,6.6
2015-02-04,261,2.8,-0.2,5.6,0.0,73.5,1.3
2015-02-05,261,2.4,-0.8,5.1,1.5,73.3,2.8
2015-02-06,261,2.1,-2.5,6.3,0.0,68.1,2.6
