tm,stnId,avgTa,minTa,maxTa,sumRn,avgRhm,sumSsHr
2015-01-01,216,-10.6,-13.8,-5.9,0.0,39.1,7.4
2015-01-02,216,-9.0,-12.1,-5.3,0.0,43.3,7.4
2015-01-03,216,-3.8,-10.7,2.8,0.0,30.0,7.4
2015-01-04,216,-0.4,-4.7,3.6,0.0,63.0,3.1
2015-01-05,216,0.5,-8.5,9.3,0.4,55.8,3.2
2015-01-06,216,-1.1,-6.7,3.5,0.4,54.3,7.3
2015-01-07,216,-7.6,-11.8,-0.9,0.0,39.4,7.5
2015-01-08,216,-6.8,-14.2,2.4,0.0,43.8,7.5
2015-01-09,216,-3.8,-8.3,-0.2,0.0,34.8,7.5
2015-01-10,216,-2.6,-6.5,1.2,0.0,42.0,7.6
2015-01-11,216,-2.5,-6.2,0.3,0.4,59.4,4.9
2015-01-12,216,-5.7,-11.3,1.6,0.0,65.6,7.6
2015-01-13,216,-3.4,-11.9,7.0,0.0,53.9,6.4
2015-01-14,216,0.2,-5.0,6.1,0.0,46.1,0.0
2015-01-15,216,0.1,-2.0,1.6,0.4,95.8,0.0
2015-01-16,216,-2.0,-5.1,1.8,0.0,75.9,4.0
2015-01-17,216,-5.2,-7.6,-1.5,0.1,42.3,7.9
2015-01-18,216,-1.2,-8.1,4.9,0.5,34.9,5.4
2015-01-19,216,-2.2,-5.6,1.4,1.5,60.0,4.9
2015-01-20,216,-3.4,-11.8,5.0,0.0,68.9,7.8
2015-01-21,216,0.1,-4.3,4.5,0.5,81.0,0.6
2015-01-22,216,-1.3,-2.9,0.4,7.5,90.5,0.0
2015-01-23,216,-3.8,-11.1,4.2,0.0,70.9,8.1
2015-01-24,216,-2.2,-6.5,4.7,0.0,66.1,8.1
2015-01-25,216,-0.2,-7.2,4.0,2.0,84.0,0.4
2015-01-26,216,3.3,-0.4,9.9,2.0,90.0,1.2
2015-01-27,216,-2.1,-6.7,1.7,0.0,74.3,3.9
2015-01-28,216,-5.8,-9.7,-0.7,0.0,80.5,2.3
2015-01-29,216,-3.5,-10.0,1.8,0.0,83.8,0.8
2015-01-30,216,-3.9,-7.7,-0.6,0.1,53.9,5.7
