구분,자동차용경유,실내등유
2015년11월16일,694.58,680.71
2015년11월17일,694.58,680.71
2015년11월18일,695.15,679.44
2015년11월19일,694.17,678.73
2015년11월20일,692.60,677.01
2015년11월21일,692.09,676.64
2015년11월22일,689.93,675.61
2015년11월23일,690.03,675.20
2015년11월24일,690.54,673.57
2015년11월25일,687.85,672.02
2015년11월26일,686.58,672.55
2015년11월27일,685.00,670.40
2015년11월28일,682.08,669.11
2015년11월29일,681.25,669.14
2015년11월30일,680.12,669.39
2015년12월01일,679.72,669.18
2015년12월02일,677.57,667.32
2015년12월03일,677.28,665.86
2015년12월04일,676.54,664.40
2015년12월05일,675.43,663.81
2015년12월06일,675.05,662.91
2015년12월07일,674.67,662.48
2015년12월08일,675.81,661.64
2015년12월09일,673.99,660.69
2015년12월10일,673.33,659.91
2015년12월11일,672.35,659.61
2015년12월12일,670.36,657.73
2015년12월13일,669.33,657.06
2015년12월14일,668.08,657.07
2015년12월15일,666.97,655.64
2015년12월16일,665.87,654.92
2015년12월17일,664.13,652.60
2015년12월18일,663.02,652.74
2015년12월19일,661.14,651.22
2015년12월20일,659.32,649.16
2015년12월21일,659.81,648.45
2015년12월22일,656.62,647.09
2015년12월23일,654.54,645.71
2015년12월24일,651.32,642.67
2015년12월25일,648.08,640.88
2015년12월26일,647.46,639.13
2015년12월27일,645.45,639.44
2015년12월28일,645.64,638.19
2015년12월29일,645.25,636.56
2015년12월30일,644.34,634.90
2015년12월31일,642.71,632.88
2016년01월01일,641.49,631.42
2016년01월02일,641.48,631.45
2016년01월03일,641.28,630.36
2016년01월04일,640.14,630.25
2016년01월05일,638.61,628.57
2016년01월06일,636.44,627.84
2016년01월07일,634.22,624.16
2016년01월08일,604.53,606.06
2016년01월09일,607.39,604.69
2016년01월10일,610.37,606.05
2016년01월11일,611.98,606.31
2016년01월12일,609.73,606.32
2016년01월13일,608.20,604.82
2016년01월14일,606.59,604.99
2016년01월15일,605.01,600.94
2016년01월16일,602.23,598.62
2016년01월17일,599.25,597.81
2016년01월18일,599.64,597.24
2016년01월19일,597.75,592.12
2016년01월20일,594.34,590.21
2016년01월21일,591.70,587.37
2016년01월22일,589.42,584.72
2016년01월23일,585.34,580.81
2016년01월24일,583.59,579.61
2016년01월25일,582.12,578.36
2016년01월26일,578.49,576.02
2016년01월27일,575.38,571.96
2016년01월28일,573.06,569.93
2016년01월29일,570.79,567.45
2016년01월30일,569.85,565.14
2016년01월31일,568.05,563.66
2016년02월01일,567.10,565.62
2016년02월02일,564.75,561.82
2016년02월03일,563.14,559.98
2016년02월04일,560.27,556.07
2016년02월05일,559.56,554.37
2016년02월06일,556.67,552.66
2016년02월07일,556.02,551.09
2016년02월08일,556.33,550.24
2016년02월09일,555.23,549.75
2016년02월10일,554.38,548.83
2016년02월11일,554.34,547.44
2016년02월12일,553.19,545.08
2016년02월13일,551.08,543.95
2016년02월14일,549.05,542.18
2016년02월15일,548.21,541.20
2016년02월16일,547.74,539.56
2016년02월17일,546.15,539.98
2016년02월18일,545.04,539.68
2016년02월19일,542.72,538.71
2016년02월20일,540.55,537.73
2016년02월21일,539.86,538.16
2016년02월22일,539.47,537.75
2016년02월23일,539.22,537.12
2016년02월24일,537.28,534.88
2016년02월25일,536.53,533.28
2016년02월26일,534.50,532.14
2016년02월27일,534.14,531.14
2016년02월28일,533.53,530.25
2016년02월29일,533.16,528.88
2016년03월01일,532.42,527.65
2016년03월02일,531.73,526.92
2016년03월03일,530.58,527.65
2016년03월04일,531.79,526.82
2016년03월05일,531.07,528.01
2016년03월06일,531.08,527.71
2016년03월07일,531.00,527.47
2016년03월08일,530.56,525.29
2016년03월09일,530.26,525.07
2016년03월10일,531.11,524.55
2016년03월11일,530.56,525.35
2016년03월12일,532.01,525.51
2016년03월13일,532.36,526.80
