date,price,month,temp_avg,temp_min,temp_max,rain_sum,humid_avg,sunshine_sum,temp_diff,oil_diesel,oil_kerosene,cpi_total,cpi_veg_seaweed,cpi_veg_special,cpi_agri_special,gov_bond_1y,gov_bond_3y,epu,old_m2_raw,old_m2_sa,m2_sa,m2_raw
2015-11-16,3872.195121951219,11,14.5,7.0,18.9,9.75,91.05,0.8500000000000001,11.9,694.58,680.71,94.928,76.10249999999999,75.1385,79.6565,1.629,1.749,63.68,2239564.406666667,2234994.086666666,2074229.613333333,2078181.506666667
2015-11-17,3919.268292682927,11,15.3,13.6,17.1,0.15,92.15,0.35,3.5000000000000018,694.58,680.71,94.93746666666668,76.39513333333333,75.46066666666667,79.78513333333333,1.63,1.758,64.89733333333334,2239543.513333333,2235244.923333333,2074527.976666667,2078253.713333333
2015-11-18,3919.268292682927,11,14.1,11.6,16.3,13.55,91.7,0.0,4.700000000000001,695.15,679.44,94.94693333333332,76.68776666666666,75.78283333333333,79.91376666666667,1.628,1.752,66.11466666666666,2239522.62,2235495.76,2074826.34,2078325.92
2015-11-19,3932.5,11,11.8,11.1,13.2,3.4,91.65,0.0,2.1,694.17,678.73,94.9564,76.9804,76.105,80.0424,1.622,1.736,67.332,2239501.726666667,2235746.596666667,2075124.703333333,2078398.126666666
2015-11-20,3966.75,11,12.3,7.5,17.0,0.1,88.19999999999999,3.9,9.5,692.6,677.01,94.96586666666666,77.27303333333333,76.42716666666666,80.17103333333333,1.636,1.762,68.54933333333334,2239480.833333333,2235997.433333333,2075423.066666667,2078470.333333333
2015-11-21,3952.8333333333335,11,10.8,6.1,16.2,0.0,84.94999999999999,3.2,10.1,692.09,676.64,94.97533333333332,77.56566666666667,76.74933333333334,80.29966666666667,1.636666666666666,1.761666666666667,69.76666666666667,2239459.94,2236248.27,2075721.43,2078542.54
2015-11-22,3938.9166666666665,11,11.8,3.2,18.2,0.0,86.35,7.2,15.0,689.93,675.61,94.9848,77.8583,77.0715,80.42830000000001,1.637333333333333,1.761333333333333,70.984,2239439.046666667,2236499.106666666,2076019.793333333,2078614.746666667
2015-11-23,3925.0,11,12.95,11.6,14.7,2.05,88.7,0.0,3.1,690.03,675.2,94.99426666666666,78.15093333333334,77.39366666666668,80.55693333333333,1.638,1.761,72.20133333333334,2239418.153333333,2236749.943333333,2076318.156666667,2078686.953333333
2015-11-24,3879.0,11,10.0,7.9,13.6,0.0,70.9,5.15,5.699999999999999,690.54,673.57,95.00373333333332,78.44356666666667,77.71583333333334,80.68556666666666,1.643,1.767,73.41866666666667,2239397.26,2237000.78,2076616.52,2078759.16
2015-11-25,3794.75,11,7.45,4.2,9.5,10.3,82.4,0.05,5.3,687.85,672.02,95.0132,78.7362,78.038,80.8142,1.645,1.769,74.636,2239376.366666667,2237251.616666667,2076914.883333333,2078831.366666667
2015-11-26,3854.0,11,2.2,-0.3,6.1,4.8,81.69999999999999,2.8,6.4,686.58,672.55,95.02266666666668,79.02883333333334,78.36016666666667,80.94283333333334,1.654,1.778,75.85333333333332,2239355.473333333,2237502.453333333,2077213.246666667,2078903.573333333
2015-11-27,3854.0,11,4.449999999999999,0.8,6.2,0.7,73.3,0.0,5.4,685.0,670.4,95.03213333333332,79.32146666666667,78.68233333333333,81.07146666666667,1.668,1.798,77.07066666666667,2239334.58,2237753.29,2077511.61,2078975.78
2015-11-28,3880.1666666666665,11,5.449999999999999,-0.1,11.3,0.0,75.8,1.25,11.4,682.08,669.11,95.0416,79.61410000000001,79.00450000000001,81.20009999999999,1.666666666666667,1.793666666666667,78.288,2239313.686666667,2238004.126666666,2077809.973333333,2079047.986666667
2015-11-29,3906.3333333333335,11,7.95,-0.4,14.3,0.0,76.35,3.9,14.7,681.25,669.14,95.05106666666666,79.90673333333334,79.32666666666667,81.32873333333333,1.665333333333333,1.789333333333333,79.50533333333334,2239292.793333333,2238254.963333333,2078108.336666667,2079120.193333333
2015-11-30,3932.5,11,7.6,0.3,14.1,0.0,79.75,6.35,13.8,680.12,669.39,95.06053333333332,80.19936666666668,79.64883333333334,81.45736666666667,1.664,1.785,80.72266666666667,2239271.9,2238505.8,2078406.7,2079192.4
2015-12-01,3907.5,12,7.05,-2.8,15.5,0.0,77.25,9.3,18.3,679.72,669.18,95.07,80.492,79.971,81.586,1.654,1.772,81.94,2239533.29032258,2238946.619354839,2079146.429032258,2079510.593548387
2015-12-02,3974.0,12,9.8,3.8,14.8,3.3000000000000003,82.75,0.0,11.0,677.57,667.32,95.0752258064516,80.67474193548388,80.17364516129032,81.66116129032258,1.648,1.762,82.13870967741936,2239794.680645161,2239387.438709677,2079886.158064516,2079828.787096774
2015-12-03,3977.25,12,5.949999999999999,1.9,8.4,0.55,52.9,3.4,6.5,677.28,665.86,95.08045161290322,80.85748387096774,80.37629032258064,81.73632258064517,1.64,1.755,82.3374193548387,2240056.070967742,2239828.258064516,2080625.887096774,2080146.980645161
2015-12-04,4011.75,12,5.75,2.8,8.4,0.1,63.5,1.7,5.6000000000000005,676.54,664.4,95.08567741935484,81.04022580645162,80.57893548387096,81.81148387096773,1.646,1.781,82.53612903225806,2240317.461290323,2240269.077419355,2081365.616129032,2080465.174193548
2015-12-05,4046.25,12,6.9,0.4,9.4,0.0,65.7,0.3,9.0,675.43,663.81,95.09090322580644,81.22296774193549,80.7815806451613,81.88664516129032,1.645666666666667,1.783,82.73483870967742,2240578.851612903,2240709.896774193,2082105.34516129,2080783.367741935
2015-12-06,4080.75,12,4.65,-3.2,9.7,0.0,72.69999999999999,4.7,12.9,675.05,662.91,95.09612903225806,81.40570967741935,80.98422580645162,81.9618064516129,1.645333333333333,1.785,82.93354838709678,2240840.241935484,2241150.716129032,2082845.074193548,2081101.561290323
2015-12-07,4115.25,12,3.9,-4.8,9.7,0.0,68.9,9.2,14.5,674.67,662.48,95.10135483870968,81.58845161290323,81.18687096774194,82.03696774193548,1.645,1.787,83.13225806451612,2241101.632258065,2241591.535483871,2083584.803225806,2081419.754838709
2015-12-08,4115.25,12,5.15,-2.3,11.2,0.0,69.05,8.45,13.5,675.81,661.64,95.10658064516127,81.7711935483871,81.38951612903226,82.11212903225807,1.639,1.763,83.33096774193548,2241363.022580645,2242032.35483871,2084324.532258064,2081737.948387097
2015-12-09,4115.25,12,8.9,-2.8,17.3,0.0,73.1,5.7,20.1,673.99,660.69,95.11180645161288,81.95393548387096,81.59216129032258,82.18729032258064,1.64,1.762,83.52967741935484,2241624.412903226,2242473.174193549,2085064.261290323,2082056.141935484
2015-12-10,4046.75,12,11.25,9.7,12.7,31.15,90.25,0.0,3.0,673.33,659.91,95.11703225806453,82.13667741935484,81.7948064516129,82.26245161290322,1.633,1.745,83.72838709677418,2241885.803225806,2242913.993548387,2085803.990322581,2082374.335483871
2015-12-11,4026.5,12,9.45,7.8,12.8,1.8,81.7,4.85,5.000000000000001,672.35,659.61,95.12225806451612,82.31941935483871,81.99745161290323,82.3376129032258,1.64,1.748,83.92709677419354,2242147.193548387,2243354.812903226,2086543.719354839,2082692.529032258
2015-12-12,4017.5,12,8.65,6.4,11.3,0.0,71.05,0.05,4.9,670.36,657.73,95.12748387096774,82.50216129032258,82.20009677419355,82.41277419354839,1.639,1.742666666666667,84.1258064516129,2242408.583870968,2243795.632258065,2087283.448387097,2083010.722580645
2015-12-13,4008.5,12,10.05,5.8,14.9,0.0,75.44999999999999,1.15,9.1,669.33,657.06,95.13270967741936,82.68490322580645,82.40274193548387,82.48793548387097,1.638,1.737333333333333,84.32451612903225,2242669.974193548,2244236.451612903,2088023.177419355,2083328.916129032
2015-12-14,3999.5,12,10.75,9.2,13.3,2.6,84.75,0.0,4.100000000000001,668.08,657.07,95.13793548387096,82.86764516129033,82.6053870967742,82.56309677419354,1.637,1.732,84.5232258064516,2242931.364516129,2244677.270967742,2088762.906451613,2083647.109677419
2015-12-15,3979.25,12,8.15,5.5,11.2,0.1,72.2,3.9,5.699999999999999,666.97,655.64,95.14316129032258,83.05038709677419,82.80803225806451,82.63825806451612,1.638,1.733,84.72193548387096,2243192.75483871,2245118.090322581,2089502.635483871,2083965.303225806
2015-12-16,3979.25,12,3.65,-0.3,6.9,1.35,64.7,5.15,7.2,665.87,654.92,95.1483870967742,83.23312903225806,83.01067741935483,82.7134193548387,1.649,1.748,84.92064516129032,2243454.14516129,2245558.909677419,2090242.364516129,2084283.496774193
2015-12-17,3937.560975609756,12,0.25,-1.6,3.7,3.35,86.0,3.55,5.300000000000001,664.13,652.6,95.1536129032258,83.41587096774194,83.21332258064517,82.78858064516129,1.638,1.726,85.11935483870967,2243715.535483871,2245999.729032258,2090982.093548387,2084601.690322581
2015-12-18,3898.048780487805,12,1.4,-3.5,8.3,0.0,79.19999999999999,2.45,11.8,663.02,652.74,95.1588387096774,83.59861290322581,83.41596774193549,82.86374193548387,1.625,1.693,85.31806451612903,2243976.925806452,2246440.548387097,2091721.822580645,2084919.883870968
