date,price,month,temp_avg,temp_min,temp_max,rain_sum,humid_avg,sunshine_sum,temp_diff,oil_diesel,oil_kerosene,cpi_total,cpi_veg_seaweed,cpi_veg_special,cpi_agri_special,gov_bond_1y,gov_bond_3y,epu,old_m2_raw,old_m2_sa,m2_sa,m2_raw
2021-08-17,15221.0,8,21.4,15.3,31.3,9.55,80.05,2.9,16.0,858.55,798.43,102.9667741935484,106.3229032258065,106.6170967741935,109.3348387096774,0.994,1.402,76.32612903225807,3467048.751612903,3470093.125806451,3265188.5,3262909.351612903
2021-08-18,17258.0,8,20.85,16.3,31.0,20.25,82.35,3.3,14.7,858.31,797.93,102.9803225806452,106.7487096774194,107.0812903225806,109.4745161290323,0.993,1.389,76.06838709677419,3468687.219354839,3471864.109677419,3266649.5,3263946.719354839
2021-08-19,21961.0,8,21.8,16.1,31.5,0.45,74.25,5.1,15.4,858.42,798.55,102.9938709677419,107.1745161290323,107.5454838709677,109.6141935483871,0.989,1.36,75.81064516129032,3470325.687096774,3473635.093548387,3268110.5,3264984.087096774
2021-08-20,21187.0,8,22.5,15.8,30.7,0.05,78.8,6.6,14.9,858.78,799.23,103.0074193548387,107.6003225806452,108.0096774193548,109.7538709677419,0.999,1.364,75.55290322580645,3471964.15483871,3475406.077419355,3269571.5,3266021.45483871
2021-08-21,20963.0,8,21.4,14.6,25.5,36.8,90.45,0.95,10.9,858.87,799.34,103.0209677419355,108.0261290322581,108.4738709677419,109.8935483870968,1.004333333333333,1.372333333333333,75.29516129032258,3473602.622580645,3477177.061290322,3271032.5,3267058.822580645
2021-08-22,19265.0,8,21.85,17.0,27.0,0.0,83.15,1.35,10.0,858.88,799.05,103.0345161290323,108.451935483871,108.938064516129,110.0332258064516,1.009666666666666,1.380666666666667,75.0374193548387,3475241.090322581,3478948.04516129,3272493.5,3268096.190322581
2021-08-23,17567.0,8,19.85,14.6,24.0,6.65,91.4,0.05,9.4,858.62,798.52,103.048064516129,108.8777419354839,109.4022580645161,110.1729032258065,1.015,1.389,74.77967741935484,3476879.558064516,3480719.029032258,3273954.5,3269133.558064516
2021-08-24,12106.0,8,21.55,17.0,26.4,12.75,94.85,0.3,9.4,858.13,798.3,103.0616129032258,109.3035483870968,109.8664516129032,110.3125806451613,1.042,1.438,74.52193548387096,3478518.025806451,3482490.012903226,3275415.5,3270170.925806452
2021-08-25,10383.0,8,22.3,17.7,27.3,1.7999999999999998,89.9,0.35,9.6,857.49,798.71,103.0751612903226,109.7293548387097,110.3306451612903,110.4522580645161,1.05,1.435,74.2641935483871,3480156.493548387,3484260.996774193,3276876.5,3271208.293548387
2021-08-26,11308.0,8,22.85,17.2,27.9,0.35,86.6,1.75,10.7,857.52,799.12,103.0887096774194,110.1551612903226,110.7948387096774,110.591935483871,1.059,1.398,74.00645161290322,3481794.961290322,3486031.980645161,3278337.5,3272245.661290322
2021-08-27,13423.0,8,20.3,14.4,25.5,0.75,87.5,0.1,11.1,857.56,799.37,103.1022580645161,110.5809677419355,111.2590322580645,110.7316129032258,1.068,1.408,73.74870967741936,3483433.429032258,3487802.964516129,3279798.5,3273283.029032258
2021-08-28,23497.0,8,21.0,13.3,28.2,0.0,82.45,5.05,14.9,857.8,799.92,103.1158064516129,111.0067741935484,111.7232258064516,110.8712903225806,1.066666666666667,1.404666666666667,73.49096774193548,3485071.896774193,3489573.948387097,3281259.5,3274320.396774194
2021-08-29,22316.0,8,21.15,15.3,26.3,1.75,84.05,3.8,11.0,858.0,800.74,103.1293548387097,111.4325806451613,112.1874193548387,111.0109677419355,1.065333333333333,1.401333333333333,73.23322580645161,3486710.364516129,3491344.932258064,3282720.5,3275357.764516129
2021-08-30,21134.0,8,21.55,14.5,27.7,0.0,79.7,4.1,13.2,857.51,800.88,103.1429032258064,111.8583870967742,112.6516129032258,111.1506451612903,1.064,1.398,72.97548387096774,3488348.832258064,3493115.916129032,3284181.5,3276395.132258065
